Timestamp,Value.Seconds,Value.Value
7810.701536,7810.734528,True
7810.701536,7810.734624,False
7836.85072,7836.877504,True
7837.850656,7837.877504,False
7838.383968,7838.41312,True
7838.383968,7838.413216,False
7857.016736,7857.054976,True
7857.116736,7857.140864,False
7858.216672,7858.240896,True
7859.216672,7859.240928,False
7859.733312,7859.770528,True
7859.733312,7859.770656,False
7863.599872,7863.629696,True
7864.599808,7864.629728,False
7865.11648,7865.143136,True
7865.11648,7865.143232,False
7875.266176,7875.299936,True
7875.349472,7875.385824,False
7876.44944,7876.485824,True
7877.44944,7877.485888,False
7877.982752,7878.005472,True
7877.982752,7878.0056,False
7883.615904,7883.642464,True
7884.61584,7884.642496,False
7885.132512,7885.161632,True
7885.132512,7885.161728,False
7947.780512,7947.81216,True
7948.780448,7948.81216,False
7949.347104,7949.376192,True
7949.347104,7949.376288,False
7968.363168,7968.389824,True
7969.363136,7969.389856,False
7969.896448,7969.918656,True
7969.896448,7969.918752,False
7980.812768,7980.844672,True
7980.896096,7980.93056,False
7981.996096,7982.030592,True
7982.996064,7983.030624,False
7983.529376,7983.555104,True
7983.529376,7983.555232,False
7984.596,7984.631968,True
7984.679328,7984.717856,False
7985.779296,7985.817856,True
7986.779264,7986.817888,False
7987.295936,7987.318816,True
7987.295936,7987.318912,False
7995.962336,7995.989056,True
7996.962272,7996.989056,False
7997.462304,7997.4984,True
7997.462304,7997.498528,False
7999.712192,7999.74864,True
7999.795552,7999.834528,False
8000.91216,8000.93456,True
8001.91216,8001.934592,False
8002.412128,8002.449888,True
8002.412128,8002.450016,False
8004.078752,8004.10864,True
8004.16208,8004.194528,False
8005.262048,8005.29456,True
8006.262016,8006.29456,False
8006.778656,8006.814368,True
8006.778656,8006.814464,False
8011.878496,8011.90688,True
8011.961824,8011.992768,False
8013.061792,8013.0928,True
8014.061792,8014.0928,False
8014.5784,8014.604704,True
8014.5784,8014.6048,False
8045.494112,8045.5256,True
8045.57744,8045.611488,False
8046.627456,8046.662816,True
8047.627392,8047.662848,False
8048.177376,8048.206656,True
8048.177376,8048.206752,False
8049.394048,8049.4168,True
